PLATE,MJD,IMG_NAME,IMG_NUM,PLATEQUALITY
4489,55545,r1-00124034,124034,good
4489,55545,r1-00124035,124035,good
4489,55545,r1-00124036,124036,good
4489,55545,r1-00124037,124037,good
4489,55545,r1-00124038,124038,good
4489,55545,r2-00124033,124033,good
4489,55545,r2-00124034,124034,good
4489,55545,r2-00124035,124035,good
4489,55545,r2-00124036,124036,good
4489,55545,r2-00124037,124037,good
4489,55545,r2-00124038,124038,good
4354,55810,b1-00133297,133297,good
4354,55810,b1-00133298,133298,good
4354,55810,b1-00133299,133299,good
4354,55810,b1-00133669,133669,good
4354,55810,b1-00133670,133670,good
4354,55810,b2-00133297,133297,good
4354,55810,b2-00133298,133298,good
4354,55810,b2-00133299,133299,good
4354,55810,b2-00133669,133669,good
4354,55810,b2-00133670,133670,good
4354,55810,r1-00133297,133297,good
4354,55810,r1-00133298,133298,good
4354,55810,r1-00133299,133299,good
4354,55810,r1-00133669,133669,good
4354,55810,r1-00133670,133670,good
4354,55810,r2-00133297,133297,good
4354,55810,r2-00133298,133298,good
4354,55810,r2-00133299,133299,good
4354,55810,r2-00133669,133669,good
4354,55810,r2-00133670,133670,good
6373,56298,b1-00153776,153776,good
6373,56298,b1-00153777,153777,good
6373,56298,b1-00153778,153778,good
6373,56298,b1-00153779,153779,good
6373,56298,b1-00153962,153962,good
6373,56298,b1-00153963,153963,good
6373,56298,b2-00153776,153776,good
6373,56298,b2-00153777,153777,good
6373,56298,b2-00153778,153778,good
6373,56298,b2-00153779,153779,good
6373,56298,b2-00153962,153962,good
6373,56298,b2-00153963,153963,good
6373,56298,r1-00153776,153776,good
6373,56298,r1-00153777,153777,good
6373,56298,r1-00153778,153778,good
6373,56298,r1-00153779,153779,good
6373,56298,r1-00153962,153962,good
6373,56298,r1-00153963,153963,good
6373,56298,r2-00153776,153776,good
6373,56298,r2-00153777,153777,good
6373,56298,r2-00153778,153778,good
6373,56298,r2-00153779,153779,good
6373,56298,r2-00153962,153962,good
6373,56298,r2-00153963,153963,good
5199,56067,b1-00144002,144002,good
5199,56067,b1-00144003,144003,good
5199,56067,b1-00144004,144004,good
5199,56067,b1-00144073,144073,good
5199,56067,b2-00144002,144002,good
5199,56067,b2-00144003,144003,good
5199,56067,b2-00144004,144004,good
5199,56067,b2-00144073,144073,good
5199,56067,r1-00144002,144002,good
5199,56067,r1-00144003,144003,good
5199,56067,r1-00144004,144004,good
5199,56067,r1-00144073,144073,good
5199,56067,r2-00144002,144002,good
5199,56067,r2-00144003,144003,good
5199,56067,r2-00144004,144004,good
5199,56067,r2-00144073,144073,good
5064,55864,b1-00135774,135774,good
5064,55864,b1-00135775,135775,good
5064,55864,b1-00135776,135776,good
5064,55864,b1-00135777,135777,good
5064,55864,b1-00135778,135778,good
5064,55864,b1-00135779,135779,good
5064,55864,b1-00135780,135780,good
5064,55864,b1-00135781,135781,good
5064,55864,b2-00135774,135774,good
5064,55864,b2-00135775,135775,good
5064,55864,b2-00135776,135776,good
5064,55864,b2-00135777,135777,good
5064,55864,b2-00135778,135778,good
5064,55864,b2-00135779,135779,good
5064,55864,b2-00135780,135780,good
5064,55864,b2-00135781,135781,good
5064,55864,r1-00135774,135774,good
5064,55864,r1-00135775,135775,good
5064,55864,r1-00135776,135776,good
5064,55864,r1-00135777,135777,good
5064,55864,r1-00135778,135778,good
5064,55864,r1-00135779,135779,good
5064,55864,r1-00135780,135780,good
5064,55864,r1-00135781,135781,good
5064,55864,r2-00135774,135774,good
5064,55864,r2-00135775,135775,good
5064,55864,r2-00135776,135776,good
5064,55864,r2-00135777,135777,good
5064,55864,r2-00135778,135778,good
5064,55864,r2-00135779,135779,good
5064,55864,r2-00135780,135780,good
5064,55864,r2-00135781,135781,good
6187,56244,b1-00150697,150697,good
6187,56244,b1-00150698,150698,good
6187,56244,b1-00150699,150699,good
6187,56244,b1-00150700,150700,good
6187,56244,b1-00150701,150701,good
6187,56244,b2-00150697,150697,good
6187,56244,b2-00150698,150698,good
6187,56244,b2-00150699,150699,good
6187,56244,b2-00150700,150700,good
6187,56244,b2-00150701,150701,good
6187,56244,r1-00150697,150697,good
6187,56244,r1-00150698,150698,good
6187,56244,r1-00150699,150699,good
